"year","CO2Emissions"
1880,236
1881,243
1882,256
1883,272
1884,275
1885,277
1886,281
1887,295
1888,327
1889,327
1890,356
1891,372
1892,374
1893,370
1894,383
1895,406
1896,419
1897,440
1898,465
1899,507
1900,534
1901,552
1902,566
1903,617
1904,624
1905,663
1906,707
1907,784
1908,750
1909,785
1910,819
1911,836
1912,879
1913,943
1914,850
1915,838
1916,901
1917,955
1918,936
1919,806
1920,932
1921,803
1922,845
1923,970
1924,963
1925,975
1926,983
1927,1062
1928,1065
1929,1145
1930,1053
1931,940
1932,847
1933,893
1934,973
1935,1027
1936,1130
1937,1209
1938,1142
1939,1192
1940,1299
1941,1334
1942,1342
1943,1391
1944,1383
1945,1160
1946,1238
1947,1392
1948,1469
1949,1419
1950,1630
1951,1767
1952,1795
1953,1841
1954,1865
1955,2042
1956,2177
1957,2270
1958,2330
1959,2454
1960,2569
1961,2580
1962,2686
1963,2833
1964,2995
1965,3130
1966,3288
1967,3393
1968,3566
1969,3780
1970,4053
1971,4208
1972,4376
1973,4614
1974,4623
1975,4596
1976,4864
1977,5026
1978,5087
1979,5369
1980,5315
1981,5152
1982,5113
1983,5094
1984,5280
1985,5439
1986,5607
1987,5752
1988,5965
1989,6097
1990,6127
1991,6217
1992,6164
1993,6162
1994,6266
1995,6398
1996,6542
1997,6651
1998,6643
1999,6610
2000,6765
2001,6991.77564584704
2002,7237.08736280804
2003,7489.61125684553
2004,7738.02343392201
2005,7971
2006,8179.72096204921
2007,8365.38193106813
2008,8531.68241906244
2009,8682.32193803784
2010,8821
2011,8950.34032382947
2012,9068.66345590621
2013,9173.21414948504
2014,9261.23715782077
2015,9329.97723416823
2016,9376.67913178223
2017,9398.58760391759
2018,9392.94740382913
2019,9357.00328477166
2020,9288
2021,9184.16574401491
2022,9047.66247630089
2023,8881.63559758837
2024,8689.23050860781
2025,8473.59261008964
2026,8237.86730276429
2027,7985.19998736222
2028,7718.73606461385
2029,7441.62093524963
2030,7157
2031,6867.9637001109
2032,6577.38263889024
2033,6288.07246016146
2034,6002.84880774798
2035,5724.52732547322
2036,5455.9236571606
2037,5199.85344663354
2038,4959.13233771548
2039,4736.57597422982
2040,4535
2041,4356.11345554151
2042,4197.19896813814
2043,4054.43256176577
2044,3923.99026040026
2045,3802.04808801749
2046,3684.78206859331
2047,3568.36822610361
2048,3448.98258452424
2049,3322.80116783108
2050,3186
2051,3035.78147772307
2052,2873.45348855718
2053,2701.35029277545
2054,2521.80615065096
2055,2337.15532245683
2056,2149.73206846615
2057,1961.87064895203
2058,1775.90532418756
2059,1594.17035444585
2060,1419
2061,1252.30263356622
2062,1094.28307763312
2063,944.720267132433
2064,803.393136995882
2065,670.080622155191
2066,544.561657542085
2067,426.615178088289
2068,316.020118725526
2069,212.555414385521
2070,116
2071,26.2179880120655
2072,-56.5857990896613
2073,-132.12136130518
2074,-200.098698634492
2075,-260.227811077596
2076,-312.218698634492
2077,-355.78136130518
2078,-390.625799089661
2079,-416.462011987934
2080,-433
