"year","population","percent_change"
1880,1405146956.87,0.00740154599072027
1881,1415885835.54611,0.00764253064322248
1882,1426990117.0294,0.00784263900698275
1883,1438407781.205,0.0080012216197876
1884,1450086807.95804,0.00811941294092425
1885,1461975177.17366,0.00819838450386151
1886,1474020868.73698,0.00823932700869251
1887,1486171862.53315,0.00824343403399446
1888,1498376138.44728,0.00821188734749325
1889,1510581676.36452,0.00814584375982459
1890,1522736456.17,0.00804642343784414
1891,1534800415.94707,0.00792255267035026
1892,1546781326.57198,0.00780616847664583
1893,1558698917.1192,0.00770476753403266
1894,1570572916.6632,0.00761789170030796
1895,1582423054.27845,0.00754510503111863
1896,1594269059.03943,0.00748599101166374
1897,1606130660.0206,0.00744015002606858
1898,1618027586.29644,0.0074071970431632
1899,1629979566.94142,0.00738675950039408
1900,1642006331.03,0.00737847537018528
1901,1654121857.59461,0.00737848955613557
1902,1666317125.49949,0.00737265386397232
1903,1678577363.56681,0.00735768592886959
1904,1690887800.61876,0.0073338514620462
1905,1703233665.47753,0.00730140985951181
1906,1715600186.96529,0.00726061358368964
1907,1727972593.90424,0.00721170761867919
1908,1740336115.11655,0.00715492899362239
1909,1752675979.42441,0.0070905063686695
1910,1764977415.65,0.00701865967811804
1911,1777238518.0048,0.00694688909108882
1912,1789508842.25743,0.00690415165343312
1913,1801850809.5658,0.00689684622781895
1914,1814326841.08783,0.00692400916646176
1915,1826999357.98143,0.00698469349987886
1916,1839930781.40452,0.00707795728914484
1917,1853183532.515,0.00720285308796805
1918,1866820032.4708,0.00735841848178636
1919,1880902702.42983,0.00754366768841055
1920,1895493963.55,0.00775758421810912
1921,1910646297.27656,0.00799387073656489
1922,1926372426.20409,0.00823079025665267
1923,1942675133.21452,0.00846290508972583
1924,1959557201.18977,0.00869011379546168
1925,1977021413.01176,0.00891232560671492
1926,1995070551.5624,0.00912946032443339
1927,2013707399.72363,0.00934144817416678
1928,2032934740.37736,0.00954822962679019
1929,2052755356.40551,0.00974975518617555
1930,2073172030.69,0.00994598514663954
1931,2094166019.62594,0.0101265059653321
1932,2115632473.66117,0.0102505980108792
1933,2137445016.75671,0.0103101759720063
1934,2159477272.87358,0.0103077533897457
1935,2181602865.9728,0.01024580965827
1936,2203695420.0154,0.0101267533093139
1937,2225628558.9624,0.00995289038030669
1938,2247275906.77481,0.00972639739243377
1939,2268511087.41367,0.00944929840383349
1940,2289207724.84,0.00912344556795709
1941,2309330449.0937,0.00879025701134284
1942,2329207914.53019,0.00860745825453129
1943,2349259781.58379,0.00860887812054508
1944,2369905710.6888,0.00878826993373099
1945,2391565362.27955,0.00913945710711305
1946,2414658396.79032,0.00965603318855898
1947,2439604474.65545,0.0103311002079154
1948,2466823256.30923,0.0111570469461551
1949,2496734402.18598,0.0121253704740481
1950,2529757572.72,0.0132265452445037
1951,2566211745.56255,0.0144101447647228
1952,2606013167.23264,0.0155097963910874
1953,2648977401.46624,0.0164865760364594
1954,2694920011.99929,0.0173435267917446
1955,2743656562.56777,0.018084600044333
1956,2795002616.90762,0.0187144612195193
1957,2848773738.75481,0.0192383082298091
1958,2904785491.8453,0.019661706483917
1959,2962853439.91504,0.0199904427479269
1960,3022793146.7,0.0202303988369652
1961,3084429691.73109,0.0203905930838765
1962,3147626217.71909,0.0204888852410605
1963,3212255383.16973,0.0205326684238492
1964,3278189846.58875,0.0205259095414629
1965,3345302266.48188,0.0204724018540202
1966,3413465301.35486,0.0203757476733685
1967,3482551609.71343,0.020239346898047
1968,3552433850.06332,0.0200663904462966
1969,3622984680.91026,0.0198598577270304
1970,3694076760.76,0.0196225173747834
1971,3765623099.90442,0.0193678539396947
1972,3837698115.78005,0.0191402628365689
1973,3910416577.60956,0.0189484580693058
1974,3983893254.61564,0.0187899870890465
1975,4058242916.02096,0.0186625636415287
1976,4133580331.0482,0.0185640476891688
1977,4210020268.92005,0.0184924282945926
1978,4287677498.85918,0.018445809040974
1979,4366666790.08827,0.0184223956326257
1980,4447102911.83,0.0184204853744074
1981,4529042117.8169,0.0184253001586557
1982,4612306599.82089,0.0183845678264793
1983,4696660034.12373,0.0182887742775203
1984,4781866097.00719,0.0181418417054666
1985,4867688464.75304,0.0179474636062195
1986,4953890813.64305,0.017709093240909
1987,5040236819.95898,0.017429937308698
1988,5126490159.98261,0.0171129538362299
1989,5212414509.99569,0.016760853397088
1990,5297773546.28,0.0163761028829572
1991,5382373036.09287,0.015968876184275
1992,5466187110.59393,0.0155719557041142
1993,5549231991.91836,0.015192469566855
1994,5631523902.20136,0.0148294233153067
1995,5713079063.57812,0.0144818991791688
1996,5793913698.18383,0.0141490488239599
1997,5874044028.15368,0.0138300869056728
1998,5953486275.62287,0.0135242853285448
1999,6032256662.72658,0.0132309681179986
2000,6110371411.6,0.0129495068331719
2001,6187978545.58,0.0127008865341097
2002,6265583019.15,0.0125411671999787
2003,6343188481.49,0.0123859921898423
2004,6420801170.03,0.0122355955158011
2005,6498406893.97,0.0120866106713032
2006,6576003857.82,0.0119409210774418
2007,6653612536.69,0.0118017994739632
2008,6731219910.73,0.0116639455050996
2009,6808826742.98,0.0115293859477522
2010,6886425212.03,0.0113967460150173
2011,6960922939.11,0.0108180550555982
2012,7035416372.3,0.0107016603748705
2013,7109908122.96,0.0105881083248023
2014,7184404346.58,0.0104778039788488
2015,7258903279.79,0.0103695351230424
2016,7333388067.55,0.0102611627251431
2017,7418617389.02674,0.0116220934568941
2018,7515887670.08491,0.0131116454667216
2019,7623187880.8939,0.0142764521662649
2020,7738506991.62308,0.0151274129053284
2021,7859833972.44182,0.0156783447957183
2022,7985157793.51951,0.0159448433029373
2023,8112467425.02552,0.0159432831257671
2024,8239751837.12922,0.0156899751253305
2025,8.365e+09,0.0152004775564231
2026,8486564457.51497,0.014532511358634
2027,8604252048.38224,0.0138675186474372
2028,8718233185.01764,0.013247070866181
