Year,Seconds,land_26,land_percent_26,land_85,land_percent_85,population_26,p_change_26,population_85,p_change_85,co2_26,co2_change_26,co2_85,co2_change_85
1880,0,17349943.03,0.133082942,17349943.03,0.133082942,1405146957,1,1405146957,1,236,1,236,1
1885,40,18484672.23,0.141786896,18484672.23,0.141786896,1461975177,1.040442902,1461975177,1.040442902,277,1.173728814,277,1.173728814
1890,80,19619401.16,0.150490847,19619401.16,0.150490847,1522736456,1.083684841,1522736456,1.083684841,356,1.508474576,356,1.508474576
1895,120,20746095.55,0.15913317,20746095.55,0.15913317,1582423054,1.126161962,1582423054,1.126161962,406,1.720338983,406,1.720338983
1900,160,21872790.45,0.167775496,21872790.45,0.167775496,1642006331,1.168565553,1642006331,1.168565553,534,2.262711864,534,2.262711864
1905,200,23454685.9,0.179909444,23454685.9,0.179909444,1703233665,1.21213917,1703233665,1.21213917,663,2.809322034,663,2.809322034
1910,240,25036582.08,0.192043397,25036582.08,0.192043397,1764977416,1.256080303,1764977416,1.256080303,819,3.470338983,819,3.470338983
1915,280,26572955.63,0.203828169,26572955.63,0.203828169,1826999358,1.300219418,1826999358,1.300219418,838,3.550847458,838,3.550847458
1920,320,28109328.85,0.215612937,28109328.85,0.215612937,1895493964,1.348964928,1895493964,1.348964928,932,3.949152542,932,3.949152542
1925,360,29450175.54,0.225897918,29450175.54,0.225897918,1977021413,1.406985514,1977021413,1.406985514,975,4.131355932,975,4.131355932
1930,400,30791021.78,0.236182895,30791021.78,0.236182895,2073172031,1.47541296,2073172031,1.47541296,1053,4.461864407,1053,4.461864407
1935,440,32534735.21,0.249558069,32534735.21,0.249558069,2181602866,1.55257986,2181602866,1.55257986,1027,4.351694915,1027,4.351694915
1940,480,34278449.37,0.262933249,34278449.37,0.262933249,2289207725,1.629158939,2289207725,1.629158939,1299,5.504237288,1299,5.504237288
1945,520,35657896.2,0.273514312,35657896.2,0.273514312,2391565362,1.70200373,2391565362,1.70200373,1160,4.915254237,1160,4.915254237
1946,528,35933785.88,0.275630527,35933785.88,0.275630527,2414658397,1.718438335,2414658397,1.718438335,1238,5.245762712,1238,5.245762712
1947,536,36209675.44,0.277746741,36209675.44,0.277746741,2439604475,1.736191693,2439604475,1.736191693,1392,5.898305085,1392,5.898305085
1948,544,36485564.81,0.279862954,36485564.81,0.279862954,2466823256,1.755562466,2466823256,1.755562466,1469,6.224576271,1469,6.224576271
1949,552,36761454.02,0.281979165,36761454.02,0.281979165,2496734402,1.776849311,2496734402,1.776849311,1419,6.012711864,1419,6.012711864
1950,560,37037344,0.284095383,37037344,0.284095383,2529757573,1.800350889,2529757573,1.800350889,1630,6.906779661,1630,6.906779661
1951,568,37782228.35,0.289809027,37782228.35,0.289809027,2566211746,1.826294206,2566211746,1.826294206,1767,7.487288136,1767,7.487288136
1952,576,38527113.13,0.295522674,38527113.13,0.295522674,2606013167,1.854619657,2606013167,1.854619657,1795,7.605932203,1795,7.605932203
1953,584,39271997.49,0.301236318,39271997.49,0.301236318,2648977401,1.885195985,2648977401,1.885195985,1841,7.800847458,1841,7.800847458
1954,592,40016882.34,0.306949966,40016882.34,0.306949966,2694920012,1.917891932,2694920012,1.917891932,1865,7.902542373,1865,7.902542373
1955,600,40761767.46,0.312663616,40761767.46,0.312663616,2743656563,1.952576241,2743656563,1.952576241,2042,8.652542373,2042,8.652542373
1956,608,41506651.69,0.31837726,41506651.69,0.31837726,2795002617,1.989117653,2795002617,1.989117653,2177,9.224576271,2177,9.224576271
