Year	Seconds	RCP
1880	0	RCP 2.6
1885	40	RCP 2.6
1890	80	RCP 2.6
1895	120	RCP 2.6
1900	160	RCP 2.6
1905	200	RCP 2.6
1910	240	RCP 2.6
1915	280	RCP 2.6
1920	320	RCP 2.6
1925	360	RCP 2.6
1930	400	RCP 2.6
1935	440	RCP 2.6
1940	480	RCP 2.6
1945	520	RCP 2.6
1946	528	RCP 2.6
1947	536	RCP 2.6
1948	544	RCP 2.6
1949	552	RCP 2.6
1950	560	RCP 2.6
1951	568	RCP 2.6
1952	576	RCP 2.6
1953	584	RCP 2.6
1954	592	RCP 2.6
1955	600	RCP 2.6
1956	608	RCP 2.6
1957	616	RCP 2.6
1958	624	RCP 2.6
1959	632	RCP 2.6
1960	640	RCP 2.6
1961	648	RCP 2.6
1962	656	RCP 2.6
1963	664	RCP 2.6
1964	672	RCP 2.6
1965	680	RCP 2.6
1966	688	RCP 2.6
1967	696	RCP 2.6
1968	704	RCP 2.6
1969	712	RCP 2.6
1970	720	RCP 2.6
1971	728	RCP 2.6
1972	736	RCP 2.6
1973	744	RCP 2.6
1974	752	RCP 2.6
1975	760	RCP 2.6
1976	768	RCP 2.6
1977	776	RCP 2.6
1978	784	RCP 2.6
1979	792	RCP 2.6
1980	800	RCP 2.6
1981	808	RCP 2.6
1982	816	RCP 2.6
1983	824	RCP 2.6
1984	832	RCP 2.6
1985	840	RCP 2.6
1986	848	RCP 2.6
1987	856	RCP 2.6
1988	864	RCP 2.6
1989	872	RCP 2.6
1990	880	RCP 2.6
1991	888	RCP 2.6
1992	896	RCP 2.6
1993	904	RCP 2.6
1994	912	RCP 2.6
1995	920	RCP 2.6
1996	928	RCP 2.6
1997	936	RCP 2.6
1998	944	RCP 2.6
1999	952	RCP 2.6
2000	960	RCP 2.6
2001	968	RCP 2.6
2002	976	RCP 2.6
2003	984	RCP 2.6
2004	992	RCP 2.6
2005	1000	RCP 2.6
2006	1008	RCP 2.6
2007	1016	RCP 2.6
2008	1024	RCP 2.6
2009	1032	RCP 2.6
2010	1040	RCP 2.6
2011	1048	RCP 2.6
2012	1056	RCP 2.6
2013	1064	RCP 2.6
2014	1072	RCP 2.6
2015	1080	RCP 2.6
2016	1088	RCP 2.6
2017	1096	RCP 2.6
2018	1104	RCP 2.6
2019	1112	RCP 2.6
2020	1120	RCP 2.6
2021	1128	RCP 8.5
2022	1136	RCP 8.5
2023	1144	RCP 8.5
2024	1152	RCP 8.5
2025	1160	RCP 2.6
2026	1168	RCP 2.6
2027	1176	RCP 2.6
2028	1184	RCP 2.6
2029	1192	RCP 2.6
2030	1200	RCP 8.5
2031	1208	RCP 8.5
2032	1216	RCP 8.5
2033	1224	RCP 8.5
2034	1232	RCP 2.6
2035	1240	RCP 2.6
2036	1248	RCP 2.6
2037	1256	RCP 2.6
2038	1264	RCP 2.6
2039	1272	RCP 8.5
2040	1280	RCP 8.5
2041	1288	RCP 8.5
2042	1296	RCP 8.5
2043	1304	RCP 2.6
2044	1312	RCP 2.6
2045	1320	RCP 2.6
2046	1328	RCP 2.6
2047	1336	RCP 2.6
2048	1344	RCP 8.5
2049	1352	RCP 8.5
2050	1360	RCP 8.5
2051	1368	RCP 8.5
2052	1376	RCP 2.6
2053	1384	RCP 2.6
2054	1392	RCP 2.6
2055	1400	RCP 2.6
2056	1408	RCP 8.5
2057	1416	RCP 8.5
2058	1424	RCP 8.5
2059	1432	RCP 2.6
2060	1440	RCP 2.6
2061	1448	RCP 2.6
2062	1456	RCP 2.6
2063	1464	RCP 2.6
2064	1472	RCP 8.5
2065	1480	RCP 8.5
2066	1488	RCP 8.5
2067	1496	RCP 2.6
2068	1504	RCP 2.6
2069	1512	RCP 2.6
2070	1520	RCP 2.6
2071	1528	RCP 2.6
2072	1536	RCP 8.5
2073	1544	RCP 8.5
2074	1552	RCP 2.6
2075	1560	RCP 2.6
2076	1568	RCP 2.6
2077	1576	RCP 2.6
2078	1584	RCP 2.6
2079	1592	RCP 2.6
2080	1600	RCP 2.6
